ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCIBSPO22N000000236,책약방,독립서점,일반,63364,제주특별자치도 제주시 구좌읍 종달로5길 11,33.49301721,126.8975716,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,050713742031,따듯한 느낌의 동네 책방,"화장실 있음, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000237,책가방,독립서점,일반,63265,제주특별자치도 제주시 동문로14길 11,33.51253788,126.5333951,13:00,18:00,13:00,18:00,12:00,16:00,,,월요일 휴무,050713576787,전시와 문화생활을 함께 할 수 있는 분위기 있는 동네책방,"카페 있음, 리뷰 있음"
KCIBSPO22N000000238,딜다책방,독립서점,일반,63194,"제주특별자치도 제주시 삼성로1길 1 , 1층",33.50542417,126.5272239,10:00,18:00,10:00,18:00,10:00,18:00,,,,0647234441,개인적인 감성과 감정을 대중들과 공유하고 재생산 과정을 통해 새로운 컨텐츠를 양산하고자 설립된 문화예술컨텐츠 기획사,"카페 있음, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000239,나이롱책방,독립서점,중고서적,63168,제주 제주시 관덕로8길 17 2층,33.51267,126.52354,12:00,19:00,12:00,19:00,12:00,19:00,,,"수요일, 목요일, 공휴일 휴무",01020688984,"독립출판물,중고책,셀렉션북을 판매하는 작은서점","독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000240,몽캐는책고팡,독립서점,일반,63036,"제주특별자치도 제주시 애월읍 고하상로 125-1 순여네국수, 하가1476 맞은 편 초록지붕",33.45552014,126.3491465,13:30,21:30,13:30,21:30,,,,,"화, 수, 목,일 정기휴무",050713620879,제주 전통가옥에 있는 작은 책방,리뷰 있음
KCIBSPO22N000000241,보배책방,독립서점,인문서적,63035,제주 제주시 애월읍 납읍로2길 15-1 단독건물,33.439446,126.32878,,,,,,,,,,050713276672,인문교양도서 위주의 독립서점,리뷰 있음
KCIBSPO22N000000242,밤수지맨드라미 책방,독립서점,일반,63365,제주특별자치도 제주시 우도면 우도해안길 530,33.52071739,126.9484813,10:00,17:00,10:00,17:00,10:00,17:00,,,비정기 휴무/ 휴무관련 인스타 확인,01074052324,"우도에 있는 작은책방, 아기자기한 소품도 있음","독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000243,북스페이스 곰곰,독립서점,아동도서,63076,제주특별자치도 제주시 우평로 45-1 바인빌딩 1층 101호,33.47906312,126.4612042,12:00,19:00,12:00,19:00,,,,,일요일 정기휴무,01051057433,"어린이 도서카페, 단행본, 그림책판매, 카페와 공간대여 운영","주차 가능, 리뷰 있음"
KCIBSPO22N000000244,사슴책방,독립서점,디자인서적,63343,제주특별자치도 제주시 조천읍 중산간동로 698-71,33.49579533,126.6581245,12:00,18:00,12:00,18:00,12:00,18:00,,,"월,화,수,목 정기휴무",01074029077,"국내외 그림책, 아트북, 그래픽노블, 디자인북, 드로잉북 등 시각 예술 서적 위주의 작품","주차 가능, 화장실 남녀 구분, 카페 있음, 공간대여 가능, 독립출판물 있음, 독서모임 가능, 강연 가능, 리뷰 있음"
KCIBSPO22N000000245,오줌폭탄,독립서점,아동도서,63333,제주특별자치도 제주시 조천읍 함덕5길 8-23,33.54443548,126.6605182,13:00,17:00,13:00,17:00,13:00,17:00,,,,050714043795,아동동시전문 서점,"주차 가능, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000246,만춘서점,독립서점,일반,63333,제주특별자치도 제주시 조천읍 함덕로 9,33.54075398,126.6733418,11:00,18:00,11:00,18:00,11:00,18:00,,,연중무휴,0647846137,"서적,음반,lp등 독립서적과 일반서적도 판매","독립출판물 있음, 헌책방 있음, 리뷰 있음"
KCIBSPO22N000000247,무명서점,독립서점,일반,63008,제주특별자치도 제주시 한경면 고산로 26 유명제과 2층,33.30333223,126.1796981,13:00,18:00,13:00,18:00,,,,,"월요일, 화요일, 일요일 정기휴무",050713333136,"책을 시, 사랑, 정치, 자연 4가지 주제로 재배열하고, 새책이었던 헌책과 헌책이 될 새책이 공존하는 책방","주차 가능, 독립출판물 있음, 강연 가능"
