FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,NEARBY_PBTRNSP_NM,PARKNG_POSBL_AT,BASE_DE
밴댕이회무침거리,인천광역시 중구 항동7가,28,28110,126.612603,37.452583,인천,수협(인천해양센터),유,20211231
연안부두횟집거리,인천광역시 중구 항동7가,28,28110,126.612603,37.452583,인천,연안부두로삼거리,유,20211231
광양불고기특화거리,전라남도 광양시 광양읍 서천1길 44,46,46230,127.579252,34.969574,전남,서천체육공원,유,20211231
이순신대교먹거리타운,전라남도 광양시 중동,46,46230,127.693001,34.937489,전남,하이마트,유,20211231
나주곰탕거리,전라남도 나주시 금계동,46,46170,126.714741,35.03061,전남,금성관,유,20211231
영산포홍어거리,전라남도 나주시 영산동,46,46170,126.72903,35.002304,전남,선창,유,20211231
곰탕골목,전라남도 나주시 중앙동,46,46170,126.719899,35.0329,전남,금성관,,20211231
담양국수거리,전라남도 담양군 담양읍 객사리,46,46710,126.987746,35.322496,전남,향교교,유,20211231
목포민어의거리,전라남도 목포시 중앙동1가,46,46110,126.383747,34.786217,전남,유달산우체국,,20211231
무안낙지골목,전라남도 무안군 무안읍 성남1길 171 성경식당,46,46840,126.476925,34.987478,전남,무안터미널,유,20211231
웃장국밥골목,전라남도 순천시 동외동,46,46150,127.48789,34.956702,전남,웃장,유,20211231
참장어(하모)거리,전라남도 여수시 남산동,46,46130,127.730137,34.73505,전남,돌산대교회타운입구,유,20211231
봉산게장거리,전라남도 여수시 봉산동,46,46130,127.720743,34.735885,전남,봉산동게장골목,,20211231
영광굴비거리,전라남도 영광군 법성면 법성리,46,46870,126.448015,35.365533,전남,법성리,,20211231
독천낙지음식명소거리,전라남도 영암군 학산면 독천리,46,46830,126.556118,34.732993,전남,독천터미널,유,20211231
완도음식특화거리,전라남도 완도군 완도읍 가용리,46,46890,126.731768,34.326509,전남,개포사거리,유,20211231
함평천지한우비빔밥거리,전라남도 함평군 함평읍 시장길 105,46,46860,126.52359,35.063786,전남,영수교,유,20211231
해남토종닭요리촌,전라남도 해남군 해남읍 연동리,46,46820,126.612717,34.547904,전남,돌고개,,20211231
선운산풍천장어거리,전라북도 고창군 아산면 삼인리,45,45790,126.57709,35.491538,전북,삼인,,20211231
은파앤츠밸리,전라북도 군산시 미룡동,45,45130,126.687597,35.948207,전북,미룡3주공아파트,,20211231
남원추어탕거리,전라북도 남원시 천거동,45,45190,127.378104,35.401788,전북,추어삼거리,,20211231
삼천동막걸리골목,전라북도 전주시 완산구 삼천동1가,46,45111,127.12044,35.796902,전남,삼천삼익아파트막걸리골목,유,20211231
산외한우마을,전라북도 정읍시 산외면 동곡리,45,45180,127.029738,35.639709,전북,산외면사무소,유,20211231
마이산등갈비골목,전라북도 진안군 마령면 동촌리,45,45720,127.395105,35.746302,전북,마이산,유,20211231
칠십리음식특화거리,제주특별자치도 서귀포시 서귀동,50,50130,126.563698,33.24512,제주,칠십리 음식특화거리,,20211231
흑돼지거리,제주특별자치도 제주시 건입동,50,50110,126.542653,33.515234,제주,탑동입구,유,20211231
서부두명품횟집거리,제주특별자치도 제주시 건입동,50,50110,126.542653,33.515234,제주,탑동푸른쉼터,유,20211231
용두암먹거리장터,제주특별자치도 제주시 용담3동,50,50110,126.495684,33.515782,제주,어영마을,,20211231
국수문화거리,제주특별자치도 제주시 일도2동 1050-1,50,50110,126.533164,33.510533,제주,민속자연사박물관,유,20211231
인삼어죽마을,충청남도 금산군 제원면 저곡리,44,44710,127.562796,36.10896,충남,저곡,유,20211231
강경젓갈단지,충청남도 논산시 강경읍 옥녀봉로27번길 30-3,44,44230,127.014644,36.160755,충남,논산경찰서,유,20211231
합덕시장한우특화거리,충청남도 당진시 합덕읍 운산리,44,44830,126.768348,36.803132,충남,합덕우체국,유,20211231
죽도관광지먹거리촌,충청남도 보령시 남포면 월전리,44,44180,126.554121,36.264907,충남,죽도,,20211231
천북굴단지,충청남도 보령시 천북면 장은리 959-17,44,44180,126.487719,36.508337,충남,천북굴단지,유,20211231
굿뜨래음식특화거리,충청남도 부여군 부여읍 나성로 119,44,44760,126.909804,36.285108,충남,성왕로타리,유,20211231
광시암소한우마을,충청남도 예산군 광시면 광시리,44,44810,126.765337,36.551599,충남,광시정유소,,20211231
천안병천순대거리,충청남도 천안시 동남구 병천면 아우내순대길 33,44,44131,127.298259,36.760813,충남,병천시장,유,20211231
백사장항꽃게거리,충청남도 태안군 안면읍 백사장2길 13,44,44825,126.317583,36.584302,충남,창기5리 백사장,유,20211231
안면도대하촌,충청남도 태안군 안면읍 창기리,44,44825,126.344294,36.583487,충남,창기5리 백사장,유,20211231
남한강쏘가리매운탕특화거리,충청북도 단양군 단양읍 도전리,43,43800,128.367579,36.97966,충북,도전2리 구경시장입구,유,20211231
속리산산채비빔밥거리,충청북도 보은군 속리산면 사내7길 4,43,43720,127.822659,36.532094,충북,청주식당앞,유,20211231
도리뱅뱅생선국수음식거리,충청북도 옥천군 청산면 지전리,43,43730,127.788904,36.344985,충북,청산버스공용정류소,유,20211231
제천중앙시장청춘맛길,충청북도 제천시 중앙로1가,43,43150,128.190916,37.132631,충북,중앙시장,유,20211231
초평붕어마을,충청북도 진천군 초평면 화산리,43,43750,127.512883,36.818606,충북,붕어마을,유,20211231
토속음식전문마을,충청북도 청주시 상당구 산성동,43,43111,127.542082,36.658237,충북,상단산성,유,20211231
서문시장삼겹살골목,충청북도 청주시 상당구 서문동 124,43,43111,127.48626,36.634029,충북,청주대교,유,20211231
용암2동먹자골목,충청북도 청주시 상당구 용암동,43,43111,127.519571,36.617856,충북,용암효성아파트,유,20211231
양성참한우거리,충청북도 충주시 앙성면 능암리,43,43130,127.810083,37.081754,충북,능암,유,20211231
찰스H,서울특별시  종로구 당주동29 포시즌스호텔지하1층,11,,126.97537,37.570709,서울,"bar, 칵테일, 샴페인",,20211231
대복순두부,강원도 인제군 인제읍 상동리 251-5,42,42810,128.173509,38.066335,강원,가마솥 두부,,20211231
거북이슈퍼,서울특별시 종로구익선동166-79,11,,126.979231,37.573175,서울,"가맥, 맥주, 쥐포",,20211231
고요남,서울특별시 강남구논현동166,11,,127.047378,37.51734,서울,"갈비, 물회, 한우물회",,20211231
와일드마카오,서울특별시 광진구화양동23-5,11,,127.082202,37.538213,서울,"갈비, 해물, 짜장",,20211231
마시찜,서울특별시 종로구동숭동1-11,11,,126.979231,37.573175,서울,"갈비찜, 소갈비찜, 매운갈비찜",,20211231
찌개,서울특별시  송파구 잠실본동 192-6,11,,127.081217,37.509624,서울,감자찌개,,20211231
서부감자국,서울특별시 은평구녹번동181,11,,126.928849,37.602769,서울,"감자탕, 볶음밥, 감자국",,20211231
고기꾼김춘배,서울특별시 마포구서교동369-443층,11,,126.901774,37.566407,서울,"고기집, 삼겹살, 오겹살",,20211231
나고집,서울특별시 강남구논현동62-19,11,,127.047378,37.51734,서울,"고깃집, 소고기, 치즈",,20211231
날라리고로케,서울특별시 종로구누상동55-3,11,,126.979231,37.573175,서울,"고로케, 수제고로케, 치즈",,20211231
쑥이네곱창,서울특별시  송파구 방이동 204-6,11,,127.125619,37.510025,서울,곱창,,20211231
단호박국수,서울특별시 종로구필운동106,11,,126.979231,37.573175,서울,"국수, 단호박, 멸치국수",,20211231
송림식당,서울특별시 광진구자양3동227-136,11,,127.082202,37.538213,서울,"기사식당, 돼지불백, 선지국",,20211231
요나요나,서울특별시 마포구연남동504-32,11,,126.901774,37.566407,서울,"꼬치, 일본, 맥주",,20211231
오동도 산아나고 숯불구이,서울특별시 서초구방배동866-10,11,,127.032743,37.483783,서울,"꼼장어, 숯불구이, 아나고",,20211231
독도꽃새우,부산광역시 중구 부평동1가 41-30,26,,129.026399,35.09887,부산,꽃새우,,20211231
노루목산장,강원도 인제군 인제읍 고사리 379-1,42,42810,128.188259,38.067492,강원,낙지보쌈,,20211231
하단,서울특별시 성북구성북동184-40,11,,127.016828,37.589443,서울,"냉칼국수, 메밀, 만두국",,20211231
진미명가,제주특별자치도 서귀포시 안덕면 사계리 2072,50,,126.307624,33.228385,제주,다금바리,,20211231
태백국물닭갈비,서울특별시 마포구망원동418-11층,11,,126.901774,37.566407,서울,"닭갈비, 물닭갈비, 닭",,20211231
정우네 신숯불닭갈비,서울특별시 마포구도화동38-3,11,,126.901774,37.566407,서울,"닭갈비, 숯불닭갈비, 닭",,20211231
갈로할로,서울특별시 용산구이태원2동5991층,11,,126.990193,37.532615,서울,"닭꼬치, 길거리음식, 치즈",,20211231
전라도집,경기도 고양시 덕양구 용두동 432-47,41,,126.894206,37.626498,경기,닭볶음탕,,20211231
도넛가이즈,서울특별시 마포구서교동340-6,11,,126.901774,37.566407,서울,"도넛, 디저트, 미국식",,20211231
공시엔승,인천광역시광역시중구운서동2840,28,,126.705297,37.45614,인천,"도삭면, 꿔바로우, 차우면",,20211231
1920 경양식,서울특별시 종로구익선동166-71,11,,126.979231,37.573175,서울,"돈까스, 레스토랑, 함박스테이크",,20211231
마피아디저트,서울특별시 용산구이태원동451-7,11,,126.990193,37.532615,서울,"디저트, 밀푀유, 카페",,20211231
통인스윗,서울특별시 종로구통인동73,11,,126.979231,37.573175,서울,"디저트, 에그타르트, 타르트",,20211231
쥬시,서울특별시 용산구이태원동340-2,11,,126.990193,37.532615,서울,"디저트, 쥬스",,20211231
메종 엠오,서울특별시 서초구방배동876-41,11,,127.032743,37.483783,서울,"디저트, 카페",,20211231
