ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,TEL_NO,FCLTY_LA,FCLTY_LO,ADIT_DC
KCOWRPO22N000012545,무장애장소,무장애장소,우경아트홀,경기도,고양시 덕양구,경기도 고양시 덕양구 화신로272번길 11(화정동),,37.6314202,126.8310171,
KCOWRPO22N000012546,무장애장소,무장애장소,시네마9,경기도,안양시 만안구,경기도 안양시 만안구 병목안로156번길 14-11(안양동),,37.3902551,126.9088095,
KCOWRPO22N000012547,무장애장소,무장애장소,에이치에스이디,서울특별시,영등포구,서울특별시 영등포구 여의대방로65길 20(여의도동),,37.520216,126.9295018,
KCOWRPO22N000012548,무장애장소,무장애장소,소극장공터다,경상북도,구미시,경상북도 구미시 금오시장로 4(원평동),,36.1252888,128.3404989,
KCOWRPO22N000012549,무장애장소,무장애장소,문화공간아이원,서울특별시,금천구,서울특별시 금천구 시흥대로 167(시흥동),,37.4488028,126.9024136,
KCOWRPO22N000012550,무장애장소,무장애장소,ROOM,서울특별시,종로구,서울특별시 종로구 대학로10길 12(동숭동),,37.5816137,127.0027979,
KCOWRPO22N000012551,무장애장소,무장애장소,CGV,서울특별시,강북구,서울특별시 강북구 도봉로 34(미아동),,37.6121455,127.0305561,
KCOWRPO22N000012552,무장애장소,무장애장소,롯데시네마,경기도,안산시 상록구,경기도 안산시 상록구 충장로 427(성포동),,37.3178571,126.845836,
KCOWRPO22N000012553,무장애장소,무장애장소,서울아트시네마,서울특별시,종로구,서울특별시 종로구 돈화문로 13(관수동),,37.5698247,126.9916908,
KCOWRPO22N000012554,무장애장소,무장애장소,국립극장,서울특별시,중구,서울특별시 중구 장충단로 59(장충동2가),,37.5526095,126.9996195,
KCOWRPO22N000012555,무장애장소,무장애장소,정읍사예술회관,전라북도,정읍시,전라북도 정읍시 시기4길 13(시기동),,35.5529546,126.8615492,
KCOWRPO22N000012556,무장애장소,무장애장소,로드시네마,충청남도,서천군,충청남도 서천군 마서면 장산로 851,,36.0207365,126.7342849,
KCOWRPO22N000012557,무장애장소,무장애장소,서울남산국악당,서울특별시,중구,서울특별시 중구 퇴계로34길 28(필동2가),,37.558429,126.9934321,
KCOWRPO22N000012558,무장애장소,무장애장소,롯데시네마,서울특별시,강동구,서울특별시 강동구 천호옛길 85(성내동),,37.5366453,127.1253315,
