ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO22N000000058,커피행성,일반서점,북카페,25222,강원도 횡성군 횡성읍 삼일로 60,37.49477513,127.9864,11:00,22:00,11:00,22:00,11:00,18:00,,,월요일,01077592202,커피와 인문서적 등,"주차 : 가능, 카페 : 있음"
KCCBSPO22N000000059,북카페 헤밍웨이,북카페,북카페,10591,경기 고양시 덕양구 동송로 70 힐스테이트삼송 상가 214호,37.65263717,126.8961017,10:00,24:00:00,10:00,24:00:00,10:00,24:00:00,,,,01062965777,"최신 유행하고 있는 유명한 책들 구비, 책 대여 가능, 책 추천 가능, 최고급 원두 사용","주차 : 가능, 카페 : 있음"
KCCBSPO22N000000060,갤러리북카페 나무에새긴마음,북카페,북카페,10449,경기 고양시 일산동구 호수로 358-25 동문굿모닝타워2차 216호,37.63992588,126.7862472,8:30,19:00,11:00,18:00,,,,,일요일 휴무,0319328768,"작은 전시회, 독서모임, 동호회 모임들으로 좋은 장소, 문화예술 도서 1500여 권 비치","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000061,예담북카페,북카페,북카페,12275,경기 남양주시 와부읍 덕소로 270 한강우성아파트102동,37.57811601,127.222014,9:00,22:00,9:00,22:00,12:00,22:00,,,,0315213436,조용하고 쾌적한 분위기,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000062,더불어꿈협동조합 북카페,북카페,북카페,11350,경기 동두천시 지행로 50 7층 더불어꿈협동조합 북카페 더;꿈,37.89208213,127.0525809,12:00,21:00,12:00,21:00,12:00,21:00,,,주말 휴무,0318620615,더불어 꿈 협동조합에서 운영하는 북카페,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000063,여민동락,북카페,북카페,16227,경기 수원시 영통구 창룡대로 265 수원역사박물관,37.29763563,127.0356232,10:00,18:00,10:00,18:00,10:00,18:00,,,월요일 휴무 첫째주,0312284132,"가성비 좋은 카페, 수원박물관 내부 카페","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000064,북카페 베소라,북카페,북카페,15066,경기 시흥시 중심상가4길 10 5층,37.34446902,126.738235,11:00,22:00,11:00,22:00,11:00,22:00,,,매주 월요일 휴무,050714192570,"일반 소설부터 환타지, 만화, 스포츠, 웹툰 등 다양한 도서 구비","화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO22N000000065,노마드북카페,북카페,북카페,14037,경기 안양시 만안구 태평로60번길 42 센트럴타워2 501호,37.39639281,126.930726,9:00,21:00,9:00,21:00,,,,,일요일 휴무,050713040393,"깜끔하고 맛있는 음식, 택배 가능","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000066,에코의서재,북카페,북카페,16897,경기 용인시 기흥구 죽전로15번길 11-3,37.32150243,127.1099992,11:00,23:00,11:00,23:00,11:00,23:00,,,금요일 11:00-24:00,0312661138,"움베르토 에코의 서재를 모티브로 한 서재카페, 다양한 종류의 책 1500권을 소장, 회원들에게 서비스로 책 대여","주차 : 가능, 카페 : 있음"
KCCBSPO22N000000067,리프레시 북&카페,북카페,북카페,11800,경기 의정부시 서광로 135 센타프라자 405호,37.72888703,127.1110453,9:30,20:00,10:00,20:00,10:00,20:00,14:00,19:00,,0318769574,"매월 200권 가량의 새책이 꾸준하게 들어오는 카페, 3200여종의 도서 마케팅을 진행, 약 5천여권의 보유장서","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000068,마을북카페 나무,북카페,북카페,11735,경기 의정부시 시민로 226-1,37.73567121,127.0598759,10:00,16:00,,,,,,,주말 및 국공휴일 휴무,07042227712,"공익을 위한 마을도서관, 회원가입시 2주간 3권씩 도서 대출 가능","카페 : 있음, 북토크 : 가능"
KCCBSPO22N000000069,심심푸리 이천로데오점,북카페,만화책,17369,경기 이천시 어재연로37번길 18,37.28036578,127.4447848,10:30,23:59,10:30,23:59,10:30,23:59,10:30,23:59,,050713013997,"만화카페, 남녀노소 누구나 편안하게 다녀갈 수 있는 카페","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000070,쑬딴스북카페,북카페,북카페,10859,경기 파주시 탄현면 헤이리마을길 21-7 더 장미건물 1층,37.78825921,126.6961109,10:00,21:00,,,,,,,,01032124027,"전공 공예 작품, 도자기 공방, 물레 체험, 신진 작가들의 작품 전시 갤러리 등 다양한 체험 가능","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000071,북카페 반디,북카페,북카페,10859,경기 파주시 탄현면 헤이리마을길 37-16,37.78774217,126.6974256,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,"공휴일에는 영업하고, 매주 화요일 휴무, 부정기 휴일은 인스타 공지",0319487952,"다양한 분야의 6,000여권의 책, 잡지, 대부분의 책 구매 가능","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000072,밀크북,북카페,북카페,10881,경기 파주시 회동길 121,37.70749853,126.6875588,9:00,19:00,10:00,20:00,10:00,20:00,10:00,20:00,"설날, 추석 당일 휴무",0319443966,"어린이 책방, 음악을 들으면서 독서활동","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
